Rank,Name,Frequency,Year
835,Calem,1,1980
835,Calum,1,1980
835,Calvert,1,1980
835,Camil,1,1980
835,Camron,1,1980
835,Canberk,1,1980
835,Canson,1,1980
835,Carlen,1,1980
835,Carlin,1,1980
835,Carlo-Polidoro,1,1980
835,Carlyle,1,1980
835,Carmine,1,1980
835,Cason,1,1980
835,Cassidy,1,1980
835,Cavin,1,1980
835,Cayley,1,1980
835,Chaalan,1,1980
835,Chadburn,1,1980
835,Chadwell,1,1980
835,Chaim,1,1980
835,Chakko,1,1980
835,Chancy,1,1980
835,Chandana,1,1980
835,Channing,1,1980
835,Charleton,1,1980
835,Charlie,1,1980
835,Chastain,1,1980
835,Chel,1,1980
835,Chen,1,1980
835,Cheong,1,1980
835,Cheyney,1,1980
835,Chi,1,1980
835,Chi-Louis,1,1980
835,Chi-Yan,1,1980
835,Choo-Kien,1,1980
835,Christiaan,1,1980
835,Christien,1,1980
835,Christina,1,1980
835,Christipher,1,1980
835,Christodoulos,1,1980
835,Christon,1,1980
835,Christoper,1,1980
835,Christopher-Blake,1,1980
835,Christopher-Guenther-Daniel,1,1980
835,Christopher-Jozef,1,1980
835,Chuck,1,1980
835,Chuckie,1,1980
835,Clancey,1,1980
835,Clarke,1,1980
835,Claudio,1,1980
835,Cleavon,1,1980
835,Clement,1,1980
835,Cletus,1,1980
835,Cliff,1,1980
835,Cliffton,1,1980
835,Clynton,1,1980
835,Coby,1,1980
835,Cochise,1,1980
835,Coddi,1,1980
835,Codi,1,1980
835,Cody-Lee,1,1980
835,Colburn,1,1980
835,Coleby,1,1980
835,Colen,1,1980
835,Collyn,1,1980
835,Colter,1,1980
835,Cong,1,1980
835,Constantine,1,1980
835,Corbet,1,1980
835,Corbett,1,1980
835,Corbin,1,1980
835,Cord,1,1980
835,Corie,1,1980
835,Corny,1,1980
835,Corrie,1,1980
835,Corry,1,1980
835,Cortney,1,1980
835,Corwin,1,1980
835,Corwyn,1,1980
835,Courtenay,1,1980
835,Craighton,1,1980
835,Creig,1,1980
835,Cresten,1,1980
835,Cristan,1,1980
835,Cristian,1,1980
835,Cristobal,1,1980
835,Cristos,1,1980
835,Cullen,1,1980
835,Cuyler,1,1980
835,Dacen,1,1980
835,Daeton,1,1980
835,Dagen,1,1980
835,Daigen,1,1980
835,Dain,1,1980
835,Daine,1,1980
835,Dakota,1,1980
835,Dallen,1,1980
835,Dameon,1,1980
835,Damion,1,1980
835,Dan,1,1980
835,Dane,1,1980
835,Danel,1,1980
835,Danen,1,1980
835,Danial,1,1980
835,Dannel,1,1980
835,Danny-Jacobus,1,1980
835,Dara,1,1980
835,Darcey,1,1980
835,D'Arcy,1,1980
835,Daren,1,1980
835,Darion,1,1980
835,Darnell,1,1980
835,Daron,1,1980
835,Darran,1,1980
835,Darris,1,1980
835,Darron,1,1980
835,Daryel,1,1980
835,Dausen,1,1980
835,Daven,1,1980
835,Dave-Rene,1,1980
835,Davinder,1,1980
835,Daxter,1,1980
835,Dayan,1,1980
835,Dayna,1,1980
835,Dayne,1,1980
835,Deane,1,1980
835,Dean-Paul,1,1980
835,Deapen,1,1980
835,Declan,1,1980
835,Deepak,1,1980
835,Deepraj,1,1980
835,Degan,1,1980
835,Deifante,1,1980
835,Delmond,1,1980
835,Delray,1,1980
835,Delwyn,1,1980
835,Demasti,1,1980
835,Demian,1,1980
835,Demitrios,1,1980
835,Demitrius,1,1980
835,Dennie,1,1980
835,Denver,1,1980
835,Derik,1,1980
835,Derrill,1,1980
835,Desi,1,1980
835,Detlef,1,1980
835,Devinder,1,1980
835,Devlin,1,1980
835,Dewey,1,1980
835,Dhamanjit,1,1980
835,Dharminder,1,1980
835,Diarmuid,1,1980
835,Dilip,1,1980
