Rank,Name,Frequency,Year
776,Lorilee,2,1980
776,Lorrie,2,1980
776,Louanne,2,1980
776,Lucille,2,1980
776,Luisa,2,1980
776,Lyndi,2,1980
776,Lynelle,2,1980
776,Malissa,2,1980
776,Manal,2,1980
776,Manjit,2,1980
776,Manpreet,2,1980
776,Maranda,2,1980
776,Mari,2,1980
776,Marie-Josee,2,1980
776,Mariem,2,1980
776,Marija,2,1980
776,Marin,2,1980
776,Marion,2,1980
776,Marisa,2,1980
776,Marlo,2,1980
776,Marny,2,1980
776,Maryann,2,1980
776,Maryse,2,1980
776,Mathilda,2,1980
776,Matilda,2,1980
776,Maya,2,1980
776,Meaghann,2,1980
776,Melina,2,1980
776,Merrin,2,1980
776,Mia,2,1980
776,Michell,2,1980
776,Misti,2,1980
776,My,2,1980
776,Nada,2,1980
776,Natacha,2,1980
776,Neelam,2,1980
776,Nena,2,1980
776,Nicholle,2,1980
776,Nikala,2,1980
776,Nisha,2,1980
776,Nita,2,1980
776,Noella,2,1980
776,Nola,2,1980
776,Noreen,2,1980
776,Norma,2,1980
776,Patrizia,2,1980
776,Paulina,2,1980
776,Paullette,2,1980
776,Pawanjeet,2,1980
776,Pearl,2,1980
776,Peggy,2,1980
776,Petra,2,1980
776,Philana,2,1980
776,Philomena,2,1980
776,Pooja,2,1980
776,Radhika,2,1980
776,Rae,2,1980
776,Rae-Ann,2,1980
776,Raeanne,2,1980
776,Rae-Lynn,2,1980
776,Ralene,2,1980
776,Ramandeep,2,1980
776,Randee,2,1980
776,Rania,2,1980
776,Raven,2,1980
776,Ravinder,2,1980
776,Rayna,2,1980
776,Raynelle,2,1980
776,Reannin,2,1980
776,Rebekka,2,1980
776,Reema,2,1980
776,Reesa,2,1980
776,Renuka,2,1980
776,Ria,2,1980
776,Rikki,2,1980
776,Riva,2,1980
776,Ronita,2,1980
776,Rosalee,2,1980
776,Rosalyn,2,1980
776,Rosalynn,2,1980
776,Roselle,2,1980
776,Rowena,2,1980
776,Roxana,2,1980
776,Rubina,2,1980
776,Rupinder,2,1980
776,Sadie,2,1980
776,Saima,2,1980
776,Samira,2,1980
776,Saskia,2,1980
776,Sebrina,2,1980
776,Selene,2,1980
776,September,2,1980
776,Sereen,2,1980
776,Shaina,2,1980
776,Shalan,2,1980
776,Shandi,2,1980
776,Shandra,2,1980
776,Shannon-Lee,2,1980
776,Shantell,2,1980
776,Shantelle,2,1980
776,Shara,2,1980
776,Shauna-Lee,2,1980
776,Shaunda,2,1980
776,Shaundra,2,1980
776,Shayla,2,1980
776,Shaylene,2,1980
776,Shayna,2,1980
776,Sheilah,2,1980
776,Shelagh,2,1980
776,Shellsey,2,1980
776,Shera,2,1980
776,Sherene,2,1980
776,Sherina,2,1980
776,Sheryl-Lynn,2,1980
776,Shianne,2,1980
776,Shireen,2,1980
776,Shylah,2,1980
776,Simrit,2,1980
776,Sinead,2,1980
776,Siobhan,2,1980
776,Sirena,2,1980
776,Skye,2,1980
776,Stacia,2,1980
776,Starlene,2,1980
776,Stefania,2,1980
776,Sundeep,2,1980
776,Suraya,2,1980
776,Suzette,2,1980
776,Sylvie,2,1980
776,Tamera,2,1980
776,Tanice,2,1980
776,Tasia,2,1980
776,Tatiana,2,1980
776,Tatum,2,1980
776,Teanna,2,1980
776,Tena,2,1980
776,Terri-Lynn,2,1980
776,Tessa,2,1980
776,Thelma,2,1980
776,Theodora,2,1980
776,Therese,2,1980
776,Tiffaney,2,1980
776,Tiffiny,2,1980
776,Tobi,2,1980
776,Traci,2,1980
776,Treena,2,1980
776,Trinda,2,1980
776,Tuesday,2,1980
776,Vanda,2,1980
776,Vannessa,2,1980
